Cleaned_Comments,Theme
they will not answer truthfully if they answer at all,ethical
if anybody still believes that supreme court justices arent just politicians in robes they havent been paying attention,legal
no one gets to decide what surgery i will have,legal
in other words her reporting tells us nothing we didnt already know,social
its soooooo true these partisan republicans justices are drunk on power and politics and knowing they can get away with crimes is the reason why they need to be stopped,political
i dont now wher too longer,ethical
all six of these corrupt conservative judges are maga politics  moscow mitch mcconnell and rrump conservative water carrying tools term limits would help but like gun legislation and weak republicans excuses to do something  they offer only mafia tactics and prayers and thoughts corruption at its best,political
so who was paid off to get this decision scotus is corrupt,political
its wild how 6 people can decide the fates of 331 million people,ethical
maybe they should be looking into jan 6 being a inside job the new video evidence is pointing to that being a real possibility trump 2024,political
the supreme court of canada has a retirement age of 75 the court works just fine,legal
if justice amy wants to have 7 or 10 kids it doesnt mean everyone should or want to they should have left roe v wade alone and mind their business,legal
hmmwhy is she saying president trump biden is president just wondering whats the use more republican supreme court justices only time they voted correct was when trump took his case there to overturn the vote to still be president they said no,legal
quick reminder our constitution does not say court justices get lifetime appointments it says shall retain their offices under good behavior in the past we had justices who held to the standard of good behavior by not taking bribes not committing perjury by lying in the job interview they all held lifetime posts because they refrained from bad behavior hence we do not have a system of lifetime appointments we have a system where a justice who refrains from bad behavior shall retain their office until they choose to retire or they expire constitution could have said life appointment but chose not to because life appointments invite dictatorial tyranny after some 200 years america came to see justices as having life appointments because of lack of crime on the bench but that is not what the constitution says the originalists on the supreme court have never even noticed this phrase or how it potentially limits their dictatorial powers,legal
which constitutional right is next to be taken away as easily,legal
making unilateral decisions about peoples healthcare from a bench is not only antithetical to democracy its wrong,ethical
i dont understand why the supreme court judges have never been charged with perjury during their sworn testimony at their confirmation hearings before congress,legal
ive had tacos at taco bell more supreme than this court what a stain on america,legal
keep voting for gop and continue to watch your rights vanish  doh,political
so just blame biden in the made up impeachment,political
elections have consequences remember that statement tough luck liberals,political
coathangerbarrett was _trying_ for plausible deniability but this leak removes that plausibility,political
what else can boomers wreck in their limited time left,legal
conservatives are packing the court to force their will on society democrats need to stop play games and start packing to court no matter what because right isnt afraid to do the same abortion rights shouldve been codified a long time ago now we gotta deal with these morality policemen being in installed on federal benches,political
the new justices had just went through lying about roe and it being case law,legal
or maybe sound of getting canceled if the entirety of the justices on the supreme court think that abortion is wrong maybe its because it is wrong,legal
it is way past time to dispense with the lifetime appointment rule i have nothing but contempt for this court their ethical standards are a joke some of them sit on seats that were stolen some of them are patently unfit does what goes around comes around sound like a sentiment that a supreme court justice should hold,legal
dont forget to vote for trump on november 13th,political
this is the evidence required to end lifetime rolls  term limits we need to make mandatory and soon,legal
bs she pulled a lisa murkowski she performed an ethical stance knowing full well her buddies would make sure she got to vote to wage war on women she got to keep her hands clean while doing nasty,ethical
the thing that still bothers me is the fact that justice alito included the history of 16th century views and feelings on abortion by sir edward coke in england claiming it as part of the uss history when this country is only 250 years of being considered an entity in its own right our history as a country does not carry forward the beliefs and laws of england therefore quoting anything before 1776 from england as part of our history as a country is incorrect 50 years of having the right to abortion means it was and is deeply embedded in our history that is 15 of the years we have been an established county with our own laws etc,legal
there own by the republicans  party,political
context is everything and the crooks on the scotus know that along with their corrupt ignorant clerks who are just religious and political fanatics in the antichoice lagers and wacolike compounds,political
this is sickening absolutely sickening vote blue insure womens rights republicans are intent on making women second class citizens,political
trumps mob would even embarrass some corrupt african nation the supreme court looks to be the most crooked part of the usa what a joke these clowns are so unpatriotic and disgraceful,social
"gee msnbc needs phony made up bs to understand that the ussc decision sent it back to the states to decide
dont worry democrats you can still extinguish human beings",legal
two men talking about abortion interesting,legal
"bravo to the brave  patriotic person who leaked these supreme court back room dealings

there clearly was a personal agenda and a premeditated plan concerning the timing of their actions  this is so discouraging  so disappointing  but sadly not surprising or shocking in the least  many of us saw this type of behavior coming when certain justices were appointed

their job is to uphold the constitution of the united states and protect the rights of all citizens 

they dont have to like abortion and they certainly dont have to get one but they do have to protect the rights of others to make that choice for themselves

the highest court in our land we look to them to make decisions based on the constitution law and the good of the nation  this pearl clutching because they got caught doing something they knew to be sneaky  wrong is as silly as it is insulting

there should be term limits for supreme court justices  and the selection process needs to be improved as well

it will be interesting to see what else comes out and what if any changes occur because of this",legal
bombshell the most used word in media,social
how about we ask medical professionals not once has anyone with experience understanding and years of knowledge been involved in this bs overturning,legal
fatal pregnancies are not abortion but how many will lie and say their fetus is a toxic parasite that needs removed,ethical
each supreme court justice was asked during the vetting process if they would dismantle roe vs wade and they all said they would leave that alone and the first thing they did was dismantle it they are all lying christians,legal
you will have that child in tx whether you want it or not you die or not you both die or not but you willhave it or run 4ur life in texas so help us our god,ethical
total abuse of power this is not a decision based on law its political you frigging idiots scotus not sure your gods will forgive you for this one,ethical
i dont like how they are making it sound like elena kagan stephen breyerketanji brown jackson and sonia sotomayor as the supporters of the overturning of roe v wade just because theyre part of the supreme court doesnt mean they all voted in favor of it being overturned,legal
yesterday i read the piece it is fabulous journalism as it needs to be uncompromised and relevant it deserves an award the best at least for me of 2023,social
republiban  gop anti choice death panels now operating over womens lives in texas,political
need more than just white n one black thats the problem,social
the current supreme court contains too many odious creatures dismiss the lot create a high code of ethics including oversight require a political balance on the bench ex 3 repubs 3 dems 3 indeps and term limits any lying cheating or political stunts gets them dismissed from the bench permanently,legal
as long as we respect religious beliefs and allow theocrats to be judges this will never end the three of them were put on the court to overturn roe its what they did its political it always has been no judge is impartial or unbiased,legal
when the law takes a back seat to politics there is no law money cant buy,political
abortion ban is about work force not religion the far right are extremely immoral and also tend to be business owners they are struggling with having enough low level workers,social
supremecourt is a scam operation clean house,legal
i hope people dont forget that trump single handedly destroyed roe v wade,legal
chris hayes is so annoying just report the facts without sensationalistic spin,social
since corporations can not perish in the field of war they should pay the financial costs of the us military 100 ,ethical
100 bet that it wasnt the liberals who leaked it the conservatives were the ones with a motive ill bet chief justice roberts investigation is just a red herring to deflect suspicion  just like oj trying to find the real killer of his wife corrupt court indeed this decision will go down in history like dred scott the 1 position of women according to polls is abortion vote blue in 24 then we need to pass a constitutional amendment for judge term limits across the board judgeships have become way to politicized,legal
corporations dont even pay their fair share 4our military which protects their interests more than ours most times ,legal
kavanaugh is a lying liar who lies though he saw it as his birthright he has no business sitting on the scotus,ethical
they really shouldnt be smiling for the pain and suffering they have caused,ethical
whatever you want  msnbc will just make up something to lie about,social
those six pics of the sc judges could be at a carnival shooting gallery,legal
roe vs wade was unconstitutional and needed to be overturn  1  there was no federal law in regards to abortions therefore the supreme court was making a law with the roe v wade ruling and the power belongs to congress not the supreme court  2  there is nothing in the constitution that gives the federal government the power to regulate abortions therefore according to the 10th amendment that power belongs to the states,legal
seems like someone would have preferred to hold off the case until after the election all for political reasons,legal
it seems to me that the supreme court is no longer supreme in brains,legal
the supreme court has destroyed their credibility on their own there are justices thomas alito for example who should clearly be removed as they have been proven to be corrupt term limits and clear legal laws are needed for this court now,legal
ruths refusal to step down while she had the choice to do so while the political landscape democratic president and congress is so incredibly selfish and she is the reason why roe was overturned that a selfish woman is the reason that woman lost their rights classic,legal
please stop repackaging the same information and start digging up new information like journalists please we need the 4th of state,political
they made a whole movie about spin its called  wag the dog spin doctors need to be exposed like the individuals making up the electoral college maybe thats why the world is aiming for robots cant we be real with ourselves or do we need a war to make us come together as a country,political
"i will never respect barrett  for her to accept the position under the ramrod they used to put her in place after mcconnell derailed obamas nomination because it is too close to an election says loudly that she is not concerned with fair play  she cannot be trusted with her position

lets not forget that she and kavanagh both testified under oath to not upset the precedence of rvw

it is a political court",legal
republicans are orwellian they talk about freedom while they are busy taking it from you,political
so fake dem news says law is about which party has power to divided without any constitutional argument that they are wrong you see sheep how they lie,political
"as disgusting  reprehensible as this story shows the conservatives of the scotus to be im in no way shocked  especially about the revelation that it was kavanaugh who was responsible for scheming to take the case but move the date in order to deceive the public based on his actions in the w bush administration  his specific involvement in the ken starr investigationfishing expedition into bill clinton 
just on a basic human level the fact that ruth bader ginsberg  a colleague of many of them for decades  hadnt been deceased for more than a day before they began scheming to undermine her lifes work is a testament to the utter depravity of men like clarence thomas  samuel alito in particular 
i dont know how much more reporting  evidence could possibly be needed at this point to support the fact that these 2 obscenely corrupt political operatives need to be impeached from the sc then theres kavanaugh who needed multiple attempts to become a judge in the 1st place  has had more questions arise about his ethics since becoming a justice than any other person ever confirmed to the court  if he is to remain a justice then the sc needs to enact an ironclad code of ethics  the most scrupulous means of enforcement of any of the lower courts or the other 2 branches of govt combined
even then the scotus needs to be expanded to 13 justices  to match the number of circuit courts of appeals  have term limits imposed by congress the last thing this country needs is more bought  paid for political operatives w no reverence for the law or the rights of the american people who arent just protected by their lifetime appointments but are actively immeasurably emboldened by them  like thomas  alito",legal
save your context narrative crap you are a utility like electric companies or phone companies,ethical
this supreme court is corrupt history will show that the extreme faction of the catholic higher authority fronted by leonard leo the fascist opus dei  a group of antidemocratic wealthy individuals and the federalist society have had key roles in the corruption of the third branch of govt under the us constitution the vast majority of american catholics oppose the efforts to destroy religious freedom in the usa,legal
this is absolute proof that the supreme court is purely political  they want everyone to believe they actually consider the arguments on each side then rule  instead they do whatever their backers want them to do  we still need to know who paid off kavanaughs huge debts just before he got on the court,legal
maybe they were hesitant to take up and overturn roe because brett and amy had so recently taken an oath to uphold roe  they took all of that dark money from the prolife faction they had to  pay to the piper  all of the rest of this is just smoke and mirrors  they are stuck with their lousy decision and it makes them look like what they are  bought and paid for,legal
"the republicans are like the dog that loves chasing cars and finally caught one
it does not end well for the dog",political
let me guess thomas or alito leaked the decision both are ethically compromised and morally bankrupt mitch mcconnell has a lot to answer for as well,legal
013 what about the breach of trust this court did to the american people by overturning roe if he wants to point a finger at someone over a breach of trust he needs to look in the mirror first hypocrite,legal
what repubs have done to our now inferior court was 100 political the court now is a majority of repub aka fascists loyalists,legal
plotting to deny women their rights is the breach of trust leaking it was an attempt to save rights,social
take away mens reproductive rights equal treatment no one gets a say in their own health care snip snip gentlemen no more viagra either if your god wants you limp you stay limp and jail the doctors who fight for mens rights to their own bodies,social
this is what has me nervous about this bench looking at the djt prosecution issues,legal
"every dem running for senate needs to run on expanding the court voting rights and preserving our democracy
put the insurrection the coup the corruption of the gop and their bought and sold scotus justices on the ballot
do not allow a republican a moment of peace in the public sphere without being on the record about these issues
do not give the gop a platform for any other issue shout them down talk over them control the god damned conversation

and most of all the doj needs to start arresting and convicting these criminals including the bribed off scotus judges sic clarence thomas",political
lol supreme court called it breach of trust but there has been no trust in these corrupted judges for a long time from the people ,legal
"if you do not understand why the abortion process is necessary then you are not doing your due diligence and understanding things over which you are voting and complaining  
the gop is against normal people they are against us succeeding and being educated and they want us to be sick  why  because our suffering  their profits",political
a dem sc doesnt know what a woman is and in sports,social
this is all about them forcing their religion on us period,social
"its been repeatedly proven theres only one body of law makers the supreme court
  only 5 people rule supreme  5 of 9

right  wrong logic  illogic fair  unfair is not required by the supreme court  they are allowed to interpret the constitution however they wish  
just as the powerful have reinterpreted and even rewritten the bible to suit their laws of god  these 5 people have that power to override whatever they wish 

do you understand the unending reach of this  5 people

only 5 of 9 justices have the power to determine what is law of the land in this ridiculous country   not the 3 branches of governmentcongress not individual states of this country have the power to make the law of the land   five 5 people of the supreme court hold all the power ",legal
nothing changes what these conservatives have done and will do,social
"gotta say again  its unfortunate that the democrats arent strategic or long range thinkers they really had every reason for ginsberg to step down and be replaced by obama by a younger judge in the first place in the second place you know i dont know if there would be a second chance or on this but he had the opportunity to put merrick garland on the bench during a recess appointment and he chose not to its such a patronizing mentality so im not sure is it obamas fault that were in this place he did a lot for the gop who won were another did a lot for him helping him get into office he certainly failed to pass or even try to pass important legislation and lets not forget those pictures of children and dog cages were taken in 2014
part two of the short term stupid thinking of the democrats was not having joe biden run for president in 2016 i supported hillary clinton for president in 1992 i thought shed be way better than her husband but its a lot easier to get a successful vice president on the heels of the president currently the democrats are trying to do that with kamala harris and it wont work because she does not have leader ship charisma at all its not because shes black because shes indian its not because shes a woman its because shes a twinkly a little too faced woman with no managerial authority and i dont see her being a commanderinchief she just doesnt have that leader ship vibe i think she wouldve been a better ag way better than merrick garland and hillary mightve been an excellent vice president in that administration forging a steppingstone for her to become the first female president of the united states but as usual the democrats and leader ship back there and dc do not have any strategic foresight they dont seem to understand where people are at or how they look at things they really seem to live in a bubble among themselves as elitist clueless patronizing and phony people i say this even though im a democrat its grossly disappointing that we have all these horrible people on the supreme court and half of them go back to the days when the democrats were all agreeable and allowing horrible people like clarence thomas onto the bench they were always being so collegial while their colleagues across the aisle were always plotting the downfall of our democracy and the rise of fascism and oligarchy it was obvious to anybody paying attention since the reagan and bush administration",political
this is a separation of church and state issue  thinking that you are somehow killing children is a religionspecific dogma position not even part of many religions resulting primarily from a very common spiritual failure thinking that you must convert others to your beliefs rather than take responsibility for yourself  its a selfimprovement avoidance pattern common among humans as they avoid their own spiritual issues while massaging their egos about how good they are being  it is used by political propagandists to promote voting regardless of the clinic violence and violence to women they are winking at,ethical
what an awful corrupt court,legal
this may be really off topici thought the nyt journalist was a man until she spoke  like a glitch in the matrix,social
america sure seems to be turning into a regressive hellhole,social
you can thank mitch mcconnell and the gop give them a thank you would you please have a great day take care and god bless ,political
the jusitces didnt need to read the draft it was written by the federalist society the society is the law,political
the supreme court overturning roe versus wade was unconstitutional and it is a violation of other laws the hipaa laws prevent anybody from using your medical information and no state has a right to stick their nose in your medical information i wish these attorneys would actually utilize this information because it is accurate to the letter of the laws you do not have to go to law school to understand the laws you simply just have to have the ability and the skill to read and comprehend,legal
supreme court justiced need to be elcted by the people with term limits,legal
oh good the supreme court participates in political pr by playing the public as fools why am i not surprised that theyre just politicians in  black robes,political
its time for biden to pack the court,legal
the supreme court is just a bunch of liars and definitely not for women because it should be a federal right only s women should have a say over her body since men dont have that baby in them that could only affect the rest of there life men dont usually have an attachment until after the birth  remember who made all this happen the right wing extremists and romp who it will never affect,legal
funny that all these privileged people who went to the best schools couldnt understand the word choice in a case   you dont like dont believe or dont want an abortion  you have the choice to not get one   just like the peple who do need or want an abortion have a choice to not believe as you do or have their religion pushed onto you,legal
nothing changes set limits on supreme court  no more life terms,legal
oh no sc followed the constitution and dem news trys to bandwagon with no constitution argument,political
the last four republican appointees said under oath that roe was settled law in order to get on the bench  they lied under oath  let that sink in  they lied under oath  then the moment they have the votes to overturn it suddenly its no longer settled law  they lied in order to get appointed to the bench so that they could do what their mega donors sent them there to do which was to end roe v wade,legal
the leak may have been inappropriate but the justices playing politics was even more inappropriate  i am very concerned of our future with a supreme court that is seemingly for sale to the highest bidders,legal
access to the justices of the supreme court   i heard today that it is very difficult to ask questions of the justices it must be because we arent billionaires who have personal access to justices i wont use the word corrupt for scotus it is political we are a democracy we didnt vote for them now people have no access to justices in the beginning justices had a circuit to ride and they ate and boarded with the people they were given their salary to aid them in the hardships they had to endure riding circuit and being away from home these guys wont cancel lunch for any of us who are the people they have pulled out the bible quote from the worst of it and hammer the public with old testament vengeance because they see god as vengeful and they see themselves as gods surrogates worried about trump wanting to be the king we ended up with at least 6 in the court,legal
it appears that much of americas democratic directives were established based on a reliance that the directives would be discharged with a modicum of honorability and respect seems as if this approach is coming apart at the seams,political
these corrupt judges make me sick,legal
time to reign the court in i think they should be limited to 10 years  not life  in the position theyre obviously arrogant and disgustingly entitled alito and thomas need to be impeached because theyre blatant crooks sucking off the teat of their privileged positions it was a criminal move by mcconnell when he denied obamas choice for the court obama was a wimp he should have fought tooth and nail to fight that but he knew he was on his way out and just didnt want the hassle for that alone i think he was a failed president,legal
msnbc is fake news msnbc is the enemy of the people,social
the right has been planning to put these anti roe in for years even though it goes against the majority of world opinion,legal
i like msnbc in general but i would like it more without chris hayes hes a bit overboardan extremist he pushes ideas a little too far beyond the facts and tries to sensationalize the news tries to start fires in other interviews of his ive seen not so much this one hes very hyper and often interrupts his guests too much he needs to tone it down or find another outlet,social
the supreme court sees whats happening to our country why arent they doing something,legal
i hope kavanaugh  himself everytime he walks into his chambers,political
mississippi wanted to end abortion because that state is the highest in young black female mortality rate while giving birth or soon after legalized murder of young black breeders is all it is,legal
hopefully people remember that the judges involved stated that they would not overturn precedent law without tacit changes to the circumstances only one of the many lies they told to get appointed,legal
vote blue so that they can expand the court,legal
a republican led scotus is corrupt yes of course it is that was the point,political
i think it was alito who leaked it,legal
the world is watching the us cannot call themselves a country of democracy or law and order ever again what a joke the curtain has fallen and we all see you now for what you really are corrupt violent antiwomen racist and fascist certainly not 100 but just look at who is actually ruling your country from your local school boards all the way to the top all the while the people are playing with their toys and stuffing their faces with greasy heartstopping burgers and fries,social
a handmaide tale isnt supposed to be an instructional booklet,ethical
biden needs to match the number of justices to the number of federal districts,legal
not allowing women to make their own reproductive decisions makes them second class citizens lots of people are good with that,social
cons and piracy put them together and you get conspiracy the court is the most corrupt in american history lock them up throw away the keys,legal
in an authoritarian country usually the authoritarian ends bad in usa we have at this point 6 authoritarians that are going to retire from their luxury lives despite how many american lives they destroy and you the republicans call the democrats and some other countries third countries and   authoritarian countries communists or socialists,social
a justice system that is so lost and broken make their citizens have no respect for that institution the supreme court should be abolished at this point,legal
i dont care about the leak what concerns me is that millions of dollars were wasted during these confirmations that ultimately mean nothing kavanaugh and coneybarrett said in front of congress that roe v wade was established law and these people clearly lied and are on the supreme court for life thats a problem,legal
religion infused justices are exactly the wrong thing when trying to maintain separation of church and state,legal
"its okay with the justices violate ethicsbut not their assistants

do as we say not as we do is not a good look for any judge or the rule of law",legal
you missed the entire point  of this story  why was the conservative  wing of the court so fixated on roe  why were they so motivated to change the law   it is so incredibly obvious that it was done for political reasons to serve their political overlords and the federalist society    this story strips the black robes  and reveals a bunch of political operatives,legal
the current supreme court made us women second class citizens again want to protect your rights and your daughters mothers sisters aunties vote and bring like minded people to the polls ,legal
"term limits

vote  across the board always    ",political
soooo thomas and all the trump appointed justices are just as heinous and immoral as is trumpinstain,legal
women in the us are now headed for a talibanlike existence pregnancy is now governed by the government and natural processes that lead to an unviable fetus in the womb are now crimes against the state,legal
it was donald trump who appointed those three zealot justices,legal
john roberts should be ashamed to lead the most corrupt court in living memory he should resign because of his failures,legal
"the us population has doubled since the last time the number of sc justices has been adjususted

it is time for biden to immediately appoint at least 9 additional sc  justices",legal
the supreme court the easiest to buy these days,legal
the justices released it on purpose  thats my opinion,legal
no one is above the law not even the mega republicans the supreme court is the court that we depend on the supreme court should not have block the views are the abortion right clarence thomas and his wife should be fired do you know what theyre coming into supreme court judges they were not here trying to make money what they are trying to do thats a bunch of bs,legal
the only incentive you need to be a model citizen in this country is have an intolerance for stupidity once you become intolerable to stupidity youll do whatever it takes to avoid the justice system in this country because it is full of our stupidest people from county level all the way to the supreme court,ethical
"wheres the bombshell
click bait trash",ethical
weird i thought it was liberals who were activist judges who legislate from the bench,political
its easy to be prolife politically but when your wife or significant others life is hanging in the balance and her life is to be sacrificed to save a nonviable pregnancy then you have finally faced the failure of this regulation of the human body in protecting life,ethical
who needs a constitution a congress or a president when you have these unelected lifeterm authoritarians forcing their vision of america on us  they have made it clear that they are the law,political
havent we been told criticizing the court isnt protected free speech   the court needs to issue a gag order,legal
best jutice money can buy so you think alito leaked or was it thomas my moneys on alito,legal
the corrupt states of america,political
probably leaked by stephen breyer on his way out the door,legal
sounds like one of the conservative justices leaked it to force the other conservatives to vote in favor of overturning roe  clarence thomas and sam alito are more like politicians than justices,legal
our supreme court cannot be trusted ,legal
lets remember for all rbg is revered she caused a shitshow by not retiring while a democrat was president and could have named a successor  theyre all the same their love of power and the prestige that comes with it is more important than anything else,political
they didnt want to miss an opportunity to get paid to rule,legal
to me it is all wrong a tiny group of people supreme court decide on something that can affect a population of 300 million  this should be decided by a referendum  people can vote for what they want not for what 5 people want supreme court is 9 people but you only need 5,legal
traitor appointed corrupt judges they are waiting for his commands,legal
who done it this abusive supreme court after 50yrs of a womans right protected this supreme court broke that trust for protection inside a patriarchal society the background of women oppression for ionsusing oppression over women for powerpower over here we are againjustices need to back to the drawing table and right their wrongstop trying to control women and their bodies easy for you to pass viagra though sick,legal
this whole affair makes the us supreme court come across as just another political arm of the farright  they show their theologic ties  someone needs to present the arguments that justified abortion  it requires an understanding of the nature and science of reproduction  the antiabortion faction live in religious fantasies   every time a women menstruates she is killing a human being  the farright feels no shame in diminishing the value of humans after birth  they deny the value of funding humanitarian efforts,legal
the not so supreme court,legal
am remembering the judges who lied about overturning roe when they were being interviewed crooks and liars on the court,legal
theyre coming after birth control next,social
republicans contradict themselves in word and deed daily more so than some dirty democrats,political
obvious from the beginning conservatives leaked to lock in votes we cheer these dumbasses for their induced consequences that are demolishing the gop,political
united states supreme court is simply the upper house of the republican party,political
the other conservatives might have giving cover to amy comey barrett during the early stages through her initial vote to not take up the case  because of the inappropriate look much as a legislators are given cover on votes that damage their political position in getting reelected when their vote is not needed to pass the legislation,political
i think alito or thomas definitely were behind the leak,legal
is it possible that people on the left could consider that may be the people who are against abortion truly believe it is wrong just like you might believe killing puppies is wrong and you might want that outlawed im prochoice but i understand the argument on the other side and i dont think the people are evil,legal
"we need so much more transparency from the supreme court bc if this is true then they didnt really lie to congress in their approval hearings to get their seats after allbut my strong sense and from all we know now of all the  trumps appointees he picked for top positions throughout americas institutions during his term is that everyone was made to sign ndas and promises of lip locked loyalty to him without questions and it may be that hes got the rs on the bench divided for a reasonnot his but whatever his puppetmaster tells him to dohe does  hes not to dumb to know that hes clueless when it comes to politics but hes taking his orders from our staunchest foreign enemies  ive been consistent on this point from the very beginning no matter how he actedthats not part of my decision that hes on the side of every one of our adversaries and treats our allies like dirthe does this in plain sight why is that ok with some americans  ive always been on the side of the underdogs but this is not thatwatch how the leader of china and the likes use these mind control techniquesits fascinating when its happening to others way over therethats all i can saythank god ppl here are saying
lol sorry so long ",political
"she was just using smoke and mirrors  if she was serious  she would have voted no in the final saying
however there is also an element of control she is still a lower being being a woman

so much corruption",political
all theyre doing is kicking the ruling back to the states which is where its supposed to actually be,legal
"the us constitution specifically forbids any attempt to establish a state religion
it follows then that any evidence that relies on the supposed words of some invisible unseen entity the evidence for whom relies entirely on the words in a single ancient unreliable selfcontradicting book which few of its selfprofessed adherents have ever actually read should play absolutely no part in lawmaking
in other words if you want the usa to follow the laws of a god then hesheit should be ready to appear in court to justify and explain those laws
you know the sort of thing  why slavery is good genocide encouraged as are stoning naughty toddlers to death and banning women from holding holy office
the silliest thing is that the organisations that claim to believe these things are not us taxpayers  but they still bleat and whine about tax dollars being wasted on things that the supposed founder of their religion commanded they do
the really funny thing is just how few of them seem able even to spell hypocrisy",legal
so if this investigative reporter delved deep into the situation with the supreme court and the alleged leak of the draft decision then why didnt her investigation reveal the culprit who leaked the draft,legal
and usa justice system is corrupt  what is going on in this country  is it just the beginning of a total collapse as it sure seems so everyone is just in it for themselves  what a corrupt corrupt country,legal
rbg was good but should have retired during obama administration,legal
these people want you to believe their conclusions are valid even though the evidence of the corruption of scotus is obvious the duplicitousness is of a trumpian scale,political
term limits and accountability for the supreme court now,legal
200 in nothing when chris says i forgot about the details i have not,social
if it looks like a duck quacks like a duck its a duck,legal
the 1973 sc decision said that women had the right to bodily autonomy  the male justices on the present sc said no they dont,legal
this makes me upset the fact that people have the power to harm people women are being treated like secondclass citizens,social
trump wanted to seat justices that would overturn roe  so the sc justices went with politics their religious beliefs  not the constitution,legal
this supreme courts conservative men are about politics they are fabricating legal interpretations that magically align with their personal political leanings that makes them nonelected lawmakers and not interpreters of the law,political
"these kind of wherever they are are claim they are religious and good people but you look at their faces and you can see the nastiness and hatred there because of all the pain they carry around with them 

when youre this evil the universe wont let you be happy",social
trump figured out how to tear down the trust in every america institution in 4 years in office why are these justices using their beliefs or opinions as metrics for which to judge your job as a judge is to follow the law the constitution it has nothing to do with anyones political opinions or religious beliefs the entire gop is dirty and trying to destroy our nation,political
of course  the newly appointed justices committed perjury during their confirmation hearings  they were inherently uncomfortable about striking down roe vs wade  they wanted a period of time to allow public acceptance of their tainted confirmations,legal
john roberts has a lot of nerve to talk about this leak being a breach of trust the scotus has broken the trust of the people i literally see them as enemies of liberty and democracy at this point none of them care about justice or do process just more greedy little children,legal
manassehisrael1025  you are taking the lords name in vain fake christian,ethical
the most corrupt supreme court in american history,legal
she is field dependent and unable to weigh other concerns  she is deaf to human concerns other than being the darling of zealots  she is a zealot and so is alito who is back in the 1500s  he hates women,ethical
it shows to all those watching  how easy it is to take over powerful positions in usa  you better believe theyre watching ,social
if something is being leaked it means something is being hidden hidden from we the people we are not governed we are ruled,political
she has seven children and an army of people to care for them  she could have advocated as a woman for some concerns that are now evident she did nothing,social
jody kantor is clear concise thank you for your insight and reporting,ethical
contact your federal legislator and say you wont vote for them unless they bring legislation to codify roe into law no compromise,legal
the supreme court needs to have their medical license revoked,legal
relisted a crime against humanity,ethical
"so msnbc is just realizing they were eagerly waiting for rbg to die so they could do this 
now  seriously",legal
it was either alito or thomas  my money is on clarence,legal
"romans 126
for this cause god gave them up unto vile affections for even their women did change the natural use into that which is against nature

king james version kjv",ethical
please never have this lady on again,ethical
blame cleta mitchell and her protege leonard leo,ethical
why would a justice choose to be regarded as a political hack rather than one of the nations great jurists,ethical
"the frothestate    work again  
   you do know dont you thatthe 5th  filth  estate gave birth to yours right 
questions
like    immunity  do you think  it  is something god will ever ever ever claim for himself 
 better shoved into hands of big wigs right 
and so boom the  froth4thestate 
 nurtured and supported said infantever since frothvery important substance dont you know
as mother or nurse still issue it seems
father well like i said the filth estate of course and yes  it knew it would need some protection someday
see a lot of froth let loose if that ever hits a wall right",ethical
once upon a time i felt like i leaned republican but now i will never forgive them and never forget that theyre trying to do to women economics foreign policies nothing of it matters if we dont even have basic human rights in the first place ,political
of course this person giving supreme court apologetics is from the new york times a right leaning paper and not known for honesty this reporter wants to mislead   make people think the majority on the supreme court arent domestic terrorists who want to destroy our country w christo fascism ,legal
all medical decisions should never be made by anyone except a patient family and the doctor doctors are the authority for medical decisions they have more education than a lawyer and they know their patients better than any politicallyappointed judge,legal
the liars on the supreme court that overturned roe v wade needs to be impeached for lying under oath,legal
start shopping for your hajibs ladies this is only the beginning of what they want to do to us,ethical
"ecclesiastes 726
and i find more bitter than death the woman whose heart is snares and nets and her hands as bands whoso pleaseth god shall escape from her but the sinner shall be taken by her

king james version kjv",ethical
"im going to channel my friend chandler bing here 

could america be more corrupt

like the third world countries americans are always on about

",social
